id,collection,dc.title[en_US],dc.content.language[en_US],dc.content.languagecode[en_US],dc.subject.language[en_US],dc.subject.languagecode[en_US],dc.language.iso[en_US],dc.description.region[en_US],dc.coverage.iso3166,dc.coverage.spatial[en_US],dc.description[en_US],dc.contributor.depositor[en_US],dc.contributor.speaker[en_US],dc.contributor.researcher[en_US],dc.contributor.consultant[en_US],dc.contributor.recorder[en_US],dc.date.begin[en_US],dc.date.finish[en_US],dc.date.issued[en_US],dc.type.linguistictype[en_US],dc.format[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.type.dcmi[en_US]
+,123456789/3,JV1-124,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"ultrasound 2; little child' 2x, 'crazy' 3x.","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27610,image
+,123456789/3,JV1-125,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"ultrasound 2; sheep' 3x, 'threshing floor' 3x.","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27611,image
+,123456789/3,JV1-126,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"ultrasound 2; female yak' 3x, 'excrement' 3x.","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27612,image
+,123456789/3,JV1-127,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"ultrasound 2; female yak' 2x, 'appearance/face' 2x, 'excrement' 2x. ","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27613,image
+,123456789/3,JV1-128,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,wordlist 34; wordlist (headset) phonetic recording of words used in palatography 4. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,48 kHz/24 bit,0:03:03,http://hdl.handle.net/10125/27614,sound
+,123456789/3,JV1-129,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; MISTAKE. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:06,http://hdl.handle.net/10125/27615,image
+,123456789/3,JV1-130,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; linguogram 'remove'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:25,http://hdl.handle.net/10125/27616,image
+,123456789/3,JV1-131,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; linguogram 'fish'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:14,http://hdl.handle.net/10125/27617,image
+,123456789/3,JV1-132,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; linguogram 'tree'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:15,http://hdl.handle.net/10125/27618,image
+,123456789/3,JV1-133,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; MISTAKE - linguogram 'yam'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:15,http://hdl.handle.net/10125/27619,image
+,123456789/3,JV1-134,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; linguogram 'yam'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:16,http://hdl.handle.net/10125/27620,image
+,123456789/3,JV1-135,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; linguogram 'stand'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:20,http://hdl.handle.net/10125/27621,image
