id,collection,dc.title[en_US],dc.content.language[en_US],dc.content.languagecode[en_US],dc.subject.language[en_US],dc.subject.languagecode[en_US],dc.language.iso[en_US],dc.description.region[en_US],dc.coverage.iso3166,dc.coverage.spatial[en_US],dc.description[en_US],dc.contributor.depositor[en_US],dc.contributor.speaker[en_US],dc.contributor.researcher[en_US],dc.contributor.consultant[en_US],dc.contributor.recorder[en_US],dc.date.begin[en_US],dc.date.finish[en_US],dc.date.issued[en_US],dc.type.linguistictype[en_US],dc.format[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.type.dcmi[en_US]
+,123456789/1,EB1-001,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 1-20,"Berg, Esther","Theodore, Paulina","Berg, Esther",,"Berg, Esther",2013-08-05,2013-08-05,2013-08-05,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:04:18,http://hdl.handle.net/10125/32450,sound
+,123456789/1,EB1-002,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list example sentences 1-20,"Berg, Esther","Theodore, Paulina","Berg, Esther",,"Berg, Esther",2013-08-05,2013-08-05,2013-08-05,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:07:16,http://hdl.handle.net/10125/32451,sound
+,123456789/1,EB1-003,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 21-40,"Berg, Esther","Stanley, Stalin","Berg, Esther",,"Berg, Esther",2013-08-05,2013-08-05,2013-08-05,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:01,http://hdl.handle.net/10125/32452,sound
+,123456789/1,EB1-004,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 41-75,"Berg, Esther","Sackarias, Sabino","Berg, Esther",,"Berg, Esther",2013-08-07,2013-08-07,2013-08-07,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:09:21,http://hdl.handle.net/10125/32453,sound
+,123456789/1,EB1-005,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 76-115,"Berg, Esther","Andrew, Rosa","Berg, Esther",,"Berg, Esther",2013-08-07,2013-08-07,2013-08-07,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:08:49,http://hdl.handle.net/10125/32454,sound
+,123456789/1,EB1-006,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 116-150,"Berg, Esther","Sackarias, Sabino","Berg, Esther",,"Berg, Esther",2013-08-08,2013-08-08,2013-08-08,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:10:23,http://hdl.handle.net/10125/32455,sound
+,123456789/1,EB1-007,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list example sentences 21-50,"Berg, Esther","Theodore, Paulina","Berg, Esther",,"Berg, Esther",2013-08-08,2013-08-08,2013-08-08,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:19,http://hdl.handle.net/10125/32456,sound
+,123456789/1,EB1-008,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list example sentences 51-80,"Berg, Esther","Theodore, Paulina","Berg, Esther",,"Berg, Esther",2013-08-08,2013-08-08,2013-08-08,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:04:32,http://hdl.handle.net/10125/32457,sound
+,123456789/1,EB1-009,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 151-175,"Berg, Esther","Patris, Thomas","Berg, Esther",,"Berg, Esther",2013-08-11,2013-08-11,2013-08-11,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:10:10,http://hdl.handle.net/10125/32458,sound
+,123456789/1,EB1-010,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 176-210,"Berg, Esther","Patris, Thomas","Berg, Esther",,"Berg, Esther",2013-08-11,2013-08-11,2013-08-11,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:12:03,http://hdl.handle.net/10125/32459,sound
+,123456789/1,EB1-011,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,ABVD Word list 1-20,"Berg, Esther","Pedro, Lucy","Berg, Esther",,"Berg, Esther",2013-08-12,2013-08-12,2013-08-12,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:07:44,http://hdl.handle.net/10125/32460,sound
+,123456789/1,EB1-012,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,ABVD Word list 21-50,"Berg, Esther","Ierago, Rayme","Berg, Esther",,"Berg, Esther",2013-08-12,2013-08-12,2013-08-12,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:11:22,http://hdl.handle.net/10125/32461,sound
+,123456789/1,EB1-013,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,ABVD Word list 51-75,"Berg, Esther","Kintoki, Lina","Berg, Esther",,"Berg, Esther",2013-08-13,2013-08-13,2013-08-13,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:13:52,http://hdl.handle.net/10125/32462,sound
+,123456789/1,EB1-014,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,ABVD Word list 76-115,"Berg, Esther","Carlos, Flavian","Berg, Esther",,"Berg, Esther",2013-08-14,2013-08-14,2013-08-14,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:11:01,http://hdl.handle.net/10125/32463,sound
+,123456789/1,EB1-015,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,ABVD Word list 116-130,"Berg, Esther","Carlos, Flavian","Berg, Esther",,"Berg, Esther",2013-08-14,2013-08-14,2013-08-14,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:04:20,http://hdl.handle.net/10125/32464,sound
+,123456789/1,EB1-016,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,ABVD Word list 131-162,"Berg, Esther","Pedro, Lucy","Berg, Esther",,"Berg, Esther",2013-08-15,2013-08-15,2013-08-15,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:08:03,http://hdl.handle.net/10125/32465,sound
+,123456789/1,EB1-017,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,ABVD Word list 163-210,"Berg, Esther","Kintoki, Lina","Berg, Esther",,"Berg, Esther",2013-08-15,2013-08-15,2013-08-15,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:18:53,http://hdl.handle.net/10125/32466,sound
+,123456789/1,EB1-018,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,"Paradigms of Subject markers, Object markers and TAM markers","Berg, Esther","Carlos, Flavian","Berg, Esther",,"Berg, Esther",2013-08-25,2013-08-25,2013-08-25,language_description,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:02:20,http://hdl.handle.net/10125/32467,sound
+,123456789/1,EB1-019,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,"Paradigms of Subject markers, Object markers and TAM markers","Berg, Esther","Carlos, Flavian","Berg, Esther",,"Berg, Esther",2013-09-27,2013-09-27,2013-09-27,language_description,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:08:19,http://hdl.handle.net/10125/32468,sound
+,123456789/1,EB1-020,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,List of transitive derivatives of intransitive verbs,"Berg, Esther","Pedro, Lucy","Berg, Esther",,"Berg, Esther",2013-09-03,2013-09-03,2013-09-03,language_description,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:28:21,http://hdl.handle.net/10125/32469,sound
+,123456789/1,EB1-021,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Overview of locational nouns with example sentences,"Berg, Esther","Andrew, Rosa","Berg, Esther",,"Berg, Esther",2013-09-04,2013-09-04,2013-09-04,language_description,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:11:25,http://hdl.handle.net/10125/32470,sound
+,123456789/1,EB1-022,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Overview of locational nouns with example sentences,"Berg, Esther","Pedro, Lee","Berg, Esther",,"Berg, Esther",2013-09-16,2013-09-16,2013-09-16,language_description,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:11:32,http://hdl.handle.net/10125/32471,sound
+,123456789/1,EB1-023,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Paradigms of demonstrative affixes,"Berg, Esther","Pedro, Lee","Berg, Esther",,"Berg, Esther",2013-09-19,2013-09-19,2013-09-19,language_description,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:07:03,http://hdl.handle.net/10125/32472,sound
+,123456789/1,EB1-024,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Paradigm(s) of possessive markers,"Berg, Esther","Pedro, Francisco","Berg, Esther",,"Berg, Esther",2013-09-19,2013-09-19,2013-09-19,language_description,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:12:01,http://hdl.handle.net/10125/32473,sound
+,123456789/1,EB1-025,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Paradigms of demonstrative affixes,"Berg, Esther","Stanley, Stalin","Berg, Esther",,"Berg, Esther",2013-09-20,2013-09-20,2013-09-20,language_description,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:13:56,http://hdl.handle.net/10125/32474,sound
+,123456789/1,EB1-026,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Paradigm(s) of possessive markers,"Berg, Esther","Kintoki, Lina","Berg, Esther",,"Berg, Esther",2013-09-20,2013-09-20,2013-09-20,language_description,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:10:35,http://hdl.handle.net/10125/32475,sound
+,123456789/1,EB1-027,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Parts of stories that Mama Obita remembers concerning the early history of the Hatohobeians,"Berg, Esther","Theodore, Paulina","Berg, Esther",,"Berg, Esther",2013-09-15,2013-09-15,2013-09-15,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:18:23,http://hdl.handle.net/10125/32476,sound
+,123456789/1,EB1-028,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Reading of Matthew 25:14-30,"Berg, Esther",Obita,"Berg, Esther",,"Berg, Esther",2013-09-18,2013-09-18,2013-09-18,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:10,http://hdl.handle.net/10125/32477,sound
+,123456789/1,EB1-029,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Memories of celebrating Christmas when Papa Nestor was young,"Berg, Esther","Nestor, Patrick","Berg, Esther",,"Berg, Esther",2013-09-20,2013-09-20,2013-09-20,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:02:38,http://hdl.handle.net/10125/32478,sound
+,123456789/1,EB1-030,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Story of 'Orekan' (exact content unknown),"Berg, Esther",Lorenzo,"Berg, Esther",,"Berg, Esther",2013-09-24,2013-09-24,2013-09-24,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:00,http://hdl.handle.net/10125/32479,sound
+,123456789/1,EB1-031,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Nursery song,"Berg, Esther",Lorenzo,"Berg, Esther",,"Berg, Esther",2013-09-24,2013-09-24,2013-09-24,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:00,http://hdl.handle.net/10125/32480,sound
+,123456789/1,EB1-032,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Discussion prompted by a question about Christianity,"Berg, Esther",Lorenzo,"Berg, Esther",,"Berg, Esther",2013-09-24,2013-09-24,2013-09-24,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:00,http://hdl.handle.net/10125/32481,sound
+,123456789/1,EB1-033,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Personal experience during typhoon Bofa,"Berg, Esther","Patris, Gloria","Berg, Esther",,"Berg, Esther",2013-09-25,2013-09-25,2013-09-25,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:08:55,http://hdl.handle.net/10125/32482,sound
+,123456789/1,EB1-034,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Story of Philipe,"Berg, Esther","Patris, Thomas","Berg, Esther",,"Berg, Esther",2013-09-25,2013-09-25,2013-09-25,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:51,http://hdl.handle.net/10125/32483,sound
+,123456789/1,EB1-035,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Reading of Matthew 25:14-30,"Berg, Esther","Pedro, Lucy","Berg, Esther",,"Berg, Esther",2013-09-25,2013-09-25,2013-09-25,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:06:59,http://hdl.handle.net/10125/32484,sound
+,123456789/1,EB1-036,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,"Story of 'Jan Frake', a Dutch man (exact content unknown)","Berg, Esther",Lorenzo,"Berg, Esther",,"Berg, Esther",2013-09-27,2013-09-27,2013-09-27,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:28:39,http://hdl.handle.net/10125/32485,sound
+,123456789/1,EB1-037,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Memories of celebrating Christmas when Governor Jacob was young – Note: this informants speech is atypical,"Berg, Esther","Yangilmau, Jacob","Berg, Esther",,"Berg, Esther",2013-09-29,2013-09-29,2013-09-29,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:07:57,http://hdl.handle.net/10125/32486,sound
+,123456789/1,EB1-038,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Discussion of gender roles in Sonsorolese culture,"Berg, Esther",Saturnina,"Berg, Esther",,"Berg, Esther",2013-10-05,2013-10-05,2013-10-05,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:08:35,http://hdl.handle.net/10125/32487,sound
+,123456789/1,EB1-039,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Discussion of differences between Palauans and Sonsorolese,"Berg, Esther",Saturnina,"Berg, Esther",,"Berg, Esther",2013-10-05,2013-10-05,2013-10-05,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:14:04,http://hdl.handle.net/10125/32488,sound
+,123456789/1,EB1-040,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Discussion of child-rearing in Sonsorolese culture,"Berg, Esther",Saturnina,"Berg, Esther",,"Berg, Esther",2013-10-05,2013-10-05,2013-10-05,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:09:40,http://hdl.handle.net/10125/32489,sound
+,123456789/1,EB1-041,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Discussion of difficulties of child-rearing in modern society,"Berg, Esther",Saturnina,"Berg, Esther",,"Berg, Esther",2013-10-05,2013-10-05,2013-10-05,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:01:04,http://hdl.handle.net/10125/32490,sound
+,123456789/1,EB1-042,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Talk prompted by a question about politics,"Berg, Esther",Saturnina,"Berg, Esther",,"Berg, Esther",2013-10-05,2013-10-05,2013-10-05,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:01:26,http://hdl.handle.net/10125/32491,sound
+,123456789/1,EB1-043,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Talk on fishing,"Berg, Esther","Stanley, Stalin","Berg, Esther",,"Berg, Esther",2013-10-06,2013-10-06,2013-10-06,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:04:16,http://hdl.handle.net/10125/32492,sound
+,123456789/1,EB1-044,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,The story of Faustino,"Berg, Esther","Patris, Thomas","Berg, Esther",,"Berg, Esther",2013-10-06,2013-10-06,2013-10-06,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:04:11,http://hdl.handle.net/10125/32493,sound
+,123456789/1,EB1-045,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,The story of the appearance of a man in white,"Berg, Esther","Patris, Thomas","Berg, Esther",,"Berg, Esther",2013-10-06,2013-10-06,2013-10-06,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:01:24,http://hdl.handle.net/10125/32494,sound
+,123456789/1,EB1-046,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,The story of infertilitiy during the German time,"Berg, Esther","Patris, Thomas","Berg, Esther",,"Berg, Esther",2013-10-07,2013-10-07,2013-10-07,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:02:25,http://hdl.handle.net/10125/32495,sound
+,123456789/1,EB1-047,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Talk on the influence the Japanese had on Palau,"Berg, Esther","Patris, Thomas","Berg, Esther",,"Berg, Esther",2013-10-07,2013-10-07,2013-10-07,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:07:52,http://hdl.handle.net/10125/32496,sound
+,123456789/1,EB1-048,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Explanation of the diet of the Hatohobeian chief,"Berg, Esther","Patris, Thomas","Berg, Esther",,"Berg, Esther",2013-10-07,2013-10-07,2013-10-07,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:02:16,http://hdl.handle.net/10125/32497,sound
+,123456789/1,EB1-049,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Talk about how Governor Patris' grandparents used to divide labor,"Berg, Esther","Patris, Thomas","Berg, Esther",,"Berg, Esther",2013-10-07,2013-10-07,2013-10-07,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:29,http://hdl.handle.net/10125/32498,sound
+,123456789/1,EB1-050,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Personal experience during typhoon Bofa,"Berg, Esther","Kintoki, Lina","Berg, Esther",,"Berg, Esther",2013-10-07,2013-10-07,2013-10-07,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:04:44,http://hdl.handle.net/10125/32499,sound
+,123456789/1,EB1-051,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Memories of a trip to Korea,"Berg, Esther","Kintoki, Lina","Berg, Esther",,"Berg, Esther",2013-10-07,2013-10-07,2013-10-07,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:03:56,http://hdl.handle.net/10125/32500,sound
+,123456789/1,EB1-052,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,"Story of 'Maidigli', a girl whose monster father attempted to eat her only friend","Berg, Esther","Pedro, Lucinda","Berg, Esther",,"Berg, Esther",2013-10-08,2013-10-08,2013-10-08,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:08:21,http://hdl.handle.net/10125/32501,sound
+,123456789/1,EB1-053,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,"Story of 'Ripohusaru', a babysitter who accidently cooked a baby","Berg, Esther","Pedro, Lucinda","Berg, Esther",,"Berg, Esther",2013-10-08,2013-10-08,2013-10-08,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:06:13,http://hdl.handle.net/10125/32502,sound
+,123456789/1,EB1-054,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,A few childhood memories,"Berg, Esther","Carlos, Flavian","Berg, Esther",,"Berg, Esther",2013-10-08,2013-10-08,2013-10-08,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:09:00,http://hdl.handle.net/10125/32503,sound
+,123456789/1,EB1-055,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,List of times Jennifer moved,"Berg, Esther","Ileoursug, Jennifer","Berg, Esther",,"Berg, Esther",2013-10-08,2013-10-08,2013-10-08,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:25,http://hdl.handle.net/10125/32504,sound
+,123456789/1,EB1-056,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Story of the man from Togloti who was killed by an indonesian and avenged by his son,"Berg, Esther","Jonas, Hilary","Berg, Esther",,"Berg, Esther",2013-10-08,2013-10-08,2013-10-08,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:20:13,http://hdl.handle.net/10125/32505,sound
+,123456789/1,EB1-057,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Story of Sabino's being lost at sea,"Berg, Esther","Sackarias, Sabino","Berg, Esther",,"Berg, Esther",2013-10-11,2013-10-11,2013-10-11,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:06:34,http://hdl.handle.net/10125/32506,sound
+,123456789/1,EB1-058,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Discussion of Hatohobei before its catholicization,"Berg, Esther","Sackarias, Sabino","Berg, Esther",,"Berg, Esther",2013-10-11,2013-10-11,2013-10-11,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:07:13,http://hdl.handle.net/10125/32507,sound
+,123456789/1,EB1-059,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Conversion experience,"Berg, Esther","Sackarias, Sabino","Berg, Esther",,"Berg, Esther",2013-10-11,2013-10-11,2013-10-11,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:08:59,http://hdl.handle.net/10125/32508,sound
+,123456789/1,EB1-060,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Lullaby,"Berg, Esther","Nestor, Huana","Berg, Esther",,"Berg, Esther",2013-10-13,2013-10-13,2013-10-13,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:04:03,http://hdl.handle.net/10125/32509,sound
+,123456789/1,EB1-061,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Reading of written rosary prayer,"Berg, Esther","Ierago, Rayme","Berg, Esther",,"Berg, Esther",2013-10-14,2013-10-14,2013-10-14,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:02:58,http://hdl.handle.net/10125/32510,sound
+,123456789/1,EB1-062,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Sentences prompted by a picture story,"Berg, Esther","Ierago, Rayme","Berg, Esther",,"Berg, Esther",2013-10-14,2013-10-14,2013-10-14,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:02:02,http://hdl.handle.net/10125/32511,sound
+,123456789/1,EB1-063,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Explanation of the custom of 'warihoho',"Berg, Esther","Nestor, Huana","Berg, Esther",,"Berg, Esther",2013-10-14,2013-10-14,2013-10-14,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:02:57,http://hdl.handle.net/10125/32512,sound
+,123456789/1,EB1-064,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,Sentences prompted by a picture story,"Berg, Esther","Nestor, Huana","Berg, Esther",,"Berg, Esther",2013-10-14,2013-10-14,2013-10-14,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:01:34,http://hdl.handle.net/10125/32513,sound
+,123456789/1,EB1-065,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Sentences prompted by a picture story,"Berg, Esther","Nestor, Kalisto","Berg, Esther",,"Berg, Esther",2013-10-14,2013-10-14,2013-10-14,primary_text,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:02:03,http://hdl.handle.net/10125/32514,sound
+,123456789/1,EB1-066,Sonsorolese||English,sov||eng,Sonsorolese,sov,,"Echang, Koror, Palau",PW,north=7.4278; east=134.5495,Words with geminate consonants,"Berg, Esther","Ierago, Rayme","Berg, Esther",,"Berg, Esther",2013-10-14,2013-10-14,2013-10-14,language_description$$lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:34,http://hdl.handle.net/10125/32515,sound
